2019-05-30 03:11:40,"RT @ericcurts: 8 Ambient Sound Websites to Help Students Focus https://t.co/m24geH4yE9
#edtech https://t.co/2PcpITwLyQ"
2019-05-30 03:10:12,We love creating stories and experimenting in our #ReggioEmilia-inspired #DigitalAtelier space. Students chose to create and recreate different scenarios at the beach today. #Edtech #edtechchat #MakerEd #reggioinspired #ReggioPLC #STEAM https://t.co/V3SfUIDWel
2019-05-30 03:10:00,"We are looking for a new sales rep to join us at Compute. 
Interested?
Have a look at the requirements below:

https://t.co/tlMk3JwPzV
#salesrep #wearehiring #edtech #sales #JobSeekersSA #ThursdayThoughts"
2019-05-30 03:09:32,"RT @NikPeachey: New research problems and agendas in learning, media and technology: the editors’ wishlist: Learning, Media and Technology:…"
2019-05-30 03:07:46,RT @burgessdave: Still time to pop into the #blockbreaker chat happening now!! #tlap #edtech Learn more about this book from @mraspinall he…
2019-05-30 03:07:26,calling all potential partners - We now have program for Education! #TheNextSmart @aws_edu #highered #edtech #edchat https://t.co/sLb7czZ0Ph
2019-05-30 03:07:25,"RT @MJMadda: I just... I don't understand this. Despite Poor Performance, Virtual School Enrollment Continues to Grow https://t.co/6NIzA8FF…"
2019-05-30 03:07:19,RT @reeveskd: Tonight's @APSVirginia School Board Work Session on #edtech in is online at this link: https://t.co/Qi3csbr5GV. I was very gl…
2019-05-30 03:07:18,"RT @torreytrust: Super excited to attend the FREE #isteTEN Spark Summit preconference event this year. If you haven't registered yet, there…"
2019-05-30 03:06:54,RT @TeachHeath: I collected this data this year - it makes me sad - but gave me lots of info to help me help my Ss get more engaged. What c…
2019-05-30 03:06:05,Tonight's @APSVirginia School Board Work Session on #edtech in is online at this link: https://t.co/Qi3csbr5GV. I was very glad to have been able to serve our kids and our community tonight by deep-diving on many issues around #teaching and #learning with #technology. @VSTE
2019-05-30 03:05:11,"RT @ericcurts: 8 Ambient Sound Websites to Help Students Focus https://t.co/m24geH4yE9
#edtech https://t.co/2PcpITwLyQ"
2019-05-30 03:04:59,#VR technology takes students around the world #globalcompetence #edtech https://t.co/o959yS5YEN
2019-05-30 03:04:12,"@techcoachjuarez What does that mean? Every T has their own budget? If so, how much is it? The education system here is very centralized. You can only buy #edtech or books that are approved. #cvtechtalk"
2019-05-30 03:03:54,"RT @ipfconline1: Education in The Age of #MachineLearning

https://t.co/KqBI1aDAci     v/ @BigCloudTeam
#Edtech #MachineLearning #AI #Digit…"
2019-05-30 03:01:13,"RT @sarahdateechur: This week, I will be doing a Twitter slow-chat with my Masters in #EdTech class, #ET630 at #LoyolaET. Please join us!…"
2019-05-30 03:00:57,"RT @ipfconline1: Education in The Age of #MachineLearning

https://t.co/KqBI1aDAci     v/ @BigCloudTeam
#Edtech #MachineLearning #AI #Digit…"
2019-05-30 03:00:36,"RT @misskyritsis: 5 P's for a Positive Digital Footprint Board Game

💻 Cyber safety
🌟 Positive online decisions
🎲 Gamified learning

https:…"
2019-05-30 03:00:35,#iPaded Tip: Saving objects with masked/transparent background using Keynote and Photos App. https://t.co/EFnaqeW4ZQ #edtech https://t.co/WC076lL6UA
2019-05-30 03:00:15,"Education in The Age of #MachineLearning

https://t.co/KqBI1aDAci     v/ @BigCloudTeam
#Edtech #MachineLearning #AI #DigitalTransformation
Cc @ahier @SpirosMargaris @psb_dc @guzmand @sallyeaves @essec @ewejel @antgrasso @AkwyZ"
2019-05-30 02:59:13,RT @GoogleForEdu: Dear educator: do you have a desire to help other teachers redefine teaching &amp; learning through technology? There’s a pro…
2019-05-30 02:57:36,Block Scheduling and #EdTech with John Nesi – HoET108 #HouseofEdTech #PodcastPD #PodcastEDU https://t.co/dFNtcR8URE
2019-05-30 02:56:17,"RT @ericcurts: 26 YouTube shortcuts everyone should know https://t.co/XAkiV6T4ux
#edtech https://t.co/WeJrijXlbp"
2019-05-30 02:55:40,How Can We Get More Highly Effective Teachers to Serve as Mentors? #nhcschat #sschat #satchat #engchat #nced #edchat #edtech  #mathchat #scichat #artsed #adminchat #K12 https://t.co/21sP6er09W
2019-05-30 02:55:25,"RT @ericcurts: 26 YouTube shortcuts everyone should know https://t.co/XAkiV6T4ux
#edtech https://t.co/WeJrijXlbp"
2019-05-30 02:55:24,RT @LINC_PD: Digital Tools  alone cannot inspire innovative teaching. The best use of technology brings teachers and students closer togeth…
2019-05-30 02:54:42,"RT @CyberPoint_Intl: Using Compression to Compare Objects, #experimenting with NCD for the #classification of large #malware. #data #datase…"
2019-05-30 02:53:53,RT @creativeedtech: End of year idea: Try using GSlides to have your Ss make memes. It could be for next year's classes or a funny quip abo…
2019-05-30 02:53:46,"RT @AnnSmart17: Announcing the REMC Apple Academy 2019 offers educators a variety of learning opportunities that leverage the use of iPads,…"
2019-05-30 02:52:28,"Had a delightful walk in the VR park. 😉
#VRGame #EDTECH #VREDITOR https://t.co/DuRzqAGpaO"
2019-05-30 02:51:51,RT @TWTConference: Are you looking to step up your #edtech game in the classroom? Our AMAZING #TWTCon2019 presenters are working hard on th…
2019-05-30 02:49:06,50 Things You Can Do With Google Classroom by Alice Keeler and Libbi Miller #edtech #edchat https://t.co/ZgObarYAjQ
2019-05-30 02:47:41,Why Prices Of Google's Cheap Chromebooks Will Rise In The Long Term by ⁦@Forbes⁩ via ⁦@techsavvyteach⁩ @edtechSR #edtechSR #edtech #googleEDU  https://t.co/bLkVUZOvpn
2019-05-30 02:47:00,"@insightdottech Great insight here. Thank you. #EdTech #DigitalWorkplace
FYI: @ViewSonic @ViewSonicEDU @myviewboard"
2019-05-30 02:46:54,Connect with Apple Distinguished Educators #ADEdu #ADEchat ! https://t.co/VqabSwMR9L Stories via @datadriven2017 @gavinsmart @iTOtto #edtech #appleeduchat
2019-05-30 02:45:43,RT @mtholfsen: NEW! Make sure your read-only reference materials stay exactly how you want them 🔒 with this new feature for @MicrosoftTeams…
2019-05-30 02:45:03,"Using Compression to Compare Objects, #experimenting with NCD for the #classification of large #malware. #data #dataset #STEM #experiment #cyber #cybersecurity #math #mathematics #infosecurity #infosec #Baltimore #edtech  #tech #technology #test https://t.co/gCr1UoeUYn https://t.co/wgjSTIUfgc"
2019-05-30 02:44:57,"RT @ShakeUpLearning: 160+ Chrome Apps and Extensions for the Classroom! 
https://t.co/dGd1XgJCSs
#edtech #edchat"
2019-05-30 02:44:55,RT @iandolphin24: Looking forward to @drchuck ’s “What is all  the Fuss About Python” general session at #apereo19 in Los Angeles next week…
2019-05-30 02:44:29,RT @lackeymartha: My students are keeping in touch with me this summer. I have created a summer2019 @Flipgrid so that we can stay connected…
2019-05-30 02:44:26,RT @ice_il: Can Ss use @makeymakey to think outside the box &amp; use the 4 C's? Join us for a #SummerPD K-12 Invention Literacy Workshop &amp; lea…
2019-05-30 02:44:21,"RT @BrainGroom: #MachineLearning course is on us. Get it for #Free in #hindi &amp; #Tamil languages. 

#Download &amp; #Register on the #BrainGroom…"
